List,Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
88,INCY,Incyte Corporation,99.85,21072075304,n/a,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/incy
89,PFG,Principal Financial Group Inc,72,20790337608,n/a,2001,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/pfg
90,WLTW,Willis Towers Watson Public Limited Company,152.23,20100269416,n/a,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/wltw
91,EXPE,"Expedia, Inc.",127.12,19385164654,n/a,n/a,Consumer Services,Transportation Services,http://www.nasdaq.com/symbol/expe
92,ALGN,"Align Technology, Inc.",241.07,19328439103,n/a,2001,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/algn
93,SBAC,SBA Communications Corporation,162.87,19144175966,n/a,1999,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/sbac
94,VCIT,Vanguard Intermediate-Term Corporate Bond ETF,87.16,18671523801,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vcit
95,XLNX,"Xilinx, Inc.",74.15,18608156868,n/a,1990,Technology,Semiconductors,http://www.nasdaq.com/symbol/xlnx
96,SWKS,"Skyworks Solutions, Inc.",101.23,18544282196,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/swks
97,INFO,IHS Markit Ltd.,45.95,18329147365,n/a,2014,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/info
98,SYMC,Symantec Corporation,29.51,18295670620,n/a,1989,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/symc
99,DVY,iShares Select Dividend ETF,98.94,17962557000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dvy
100,PFF,iShares U.S. Preferred Stock ETF,37.97,17652253000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pff
101,KLAC,KLA-Tencor Corporation,109.86,17215930224,n/a,1980,Capital Goods,Electronic Components,http://www.nasdaq.com/symbol/klac
102,CTAS,Cintas Corporation,161.64,17209822600,n/a,1983,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/ctas
103,CHKP,Check Point Software Technologies Ltd.,103.42,17165155598,n/a,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/chkp
104,WYNN,"Wynn Resorts, Limited",164.49,16906700498,n/a,2002,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/wynn
105,HBAN,Huntington Bancshares Incorporated,14.98,16192575799,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/hban
106,LBRDK,Liberty Broadband Corporation,88.93,16171597062,n/a,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/lbrdk
107,LBRDA,Liberty Broadband Corporation,88.83,16153412425,n/a,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/lbrda
108,VRSK,"Verisk Analytics, Inc.",96.88,15955352435,n/a,2009,Technology,EDP Services,http://www.nasdaq.com/symbol/vrsk
109,BMRN,BioMarin Pharmaceutical Inc.,90.27,15853332675,n/a,1999,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bmrn
110,FAST,Fastenal Company,54.89,15774857629,n/a,1987,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/fast
111,NTAP,"NetApp, Inc.",58.85,15700696900,n/a,1995,Technology,Electronic Components,http://www.nasdaq.com/symbol/ntap
112,XRAY,DENTSPLY SIRONA Inc.,67.84,15581688411,n/a,1987,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/xray
113,VOD,Vodafone Group Plc,32.58,15156275296,465201820,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/vod
114,MXIM,"Maxim Integrated Products, Inc.",53.26,14991976156,n/a,1988,Technology,Semiconductors,http://www.nasdaq.com/symbol/mxim
115,MELI,"MercadoLibre, Inc.",330.87,14610347027,n/a,2007,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/meli
116,IDXX,"IDEXX Laboratories, Inc.",166.6,14530637586,n/a,1991,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/idxx
117,ULTA,"Ulta Beauty, Inc.",237.96,14513748648,n/a,2007,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/ulta
118,CBOE,"Cboe Global Markets, Inc.",127.6,14477218342,n/a,2010,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/cboe
119,CA,CA Inc.,34.03,14243031698,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ca
120,ETFC,E*TRADE Financial Corporation,51.47,13793669761,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/etfc
121,CTXS,"Citrix Systems, Inc.",91.48,13783788153,n/a,1995,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ctxs
122,VIA,Viacom Inc.,33.55,13495758785,n/a,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/via
123,LSXMK,Liberty Media Corporation,39.87,13399640015,n/a,n/a,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/lsxmk
124,TTWO,"Take-Two Interactive Software, Inc.",116.91,13333945232,n/a,1997,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ttwo
125,SNPS,"Synopsys, Inc.",88.93,13225105962,n/a,1992,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/snps
126,NDAQ,"Nasdaq, Inc.",79.21,13166783084,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/ndaq
127,ASML,ASML Holding N.V.,182.87,13146897172,71892039,1995,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/asml
128,IPGP,IPG Photonics Corporation,242.34,13070488184,n/a,2006,Technology,Semiconductors,http://www.nasdaq.com/symbol/ipgp
129,LKQ,LKQ Corporation,42.02,12986035645,n/a,n/a,Consumer Services,Motor Vehicles,http://www.nasdaq.com/symbol/lkq
130,ANSS,"ANSYS, Inc.",152.45,12936979109,n/a,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/anss
131,SIVB,SVB Financial Group,243.85,12860826767,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sivb
132,JBHT,"J.B. Hunt Transport Services, Inc.",116.27,12760852832,n/a,n/a,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/jbht
133,FANG,"Diamondback Energy, Inc.",129.98,12759784224,n/a,2012,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/fang
134,ALNY,"Alnylam Pharmaceuticals, Inc.",127.73,12667087817,n/a,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alny
135,EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF,116.72,12570744000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/emb
136,NCLH,Norwegian Cruise Line Holdings Ltd.,54.87,12535815839,n/a,n/a,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/nclh
137,CHRW,"C.H. Robinson Worldwide, Inc.",89.57,12513369147,n/a,1997,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/chrw
138,SPLK,Splunk Inc.,87.88,12431365071,n/a,2012,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/splk
139,QVCB,Liberty Interactive Corporation,25.679,12426509650,n/a,n/a,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/qvcb
140,STX,Seagate Technology PLC,42.94,12423339825,n/a,2002,Technology,Electronic Components,http://www.nasdaq.com/symbol/stx
141,CDNS,"Cadence Design Systems, Inc.",43.99,12421016400,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cdns
142,QVCA,Liberty Interactive Corporation,25.64,12407636880,n/a,n/a,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/qvca
143,CINF,Cincinnati Financial Corporation,74,12141311350,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/cinf
144,HOLX,"Hologic, Inc.",43.98,12124562441,n/a,1990,Health Care,Medical Electronics,http://www.nasdaq.com/symbol/holx
145,TEAM,Atlassian Corporation Plc,51.87,11935501897,n/a,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/team
146,MBB,iShares MBS ETF,106.46,11848998000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mbb
147,SHPG,Shire plc,156.86,11623232511,74099404,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/shpg
148,SEIC,SEI Investments Company,73.59,11588448814,n/a,1981,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/seic
149,EXPD,"Expeditors International of Washington, Inc.",65.09,11566678507,n/a,n/a,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/expd
150,ACGL,Arch Capital Group Ltd.,88.36,11564028761,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/acgl
151,HAS,"Hasbro, Inc.",92.41,11510181702,n/a,n/a,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/has
152,HSIC,"Henry Schein, Inc.",73.33,11509465565,n/a,1995,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/hsic
153,CGNX,Cognex Corporation,66.38,11495236883,n/a,1989,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cgnx
154,CSJ,iShares 1-3 Year Credit Bond ETF,104.46,11469708000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/csj
155,AMD,"Advanced Micro Devices, Inc.",11.88,11461807404,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amd
156,MRVL,Marvell Technology Group Ltd.,23,11382437110,n/a,2000,Technology,Semiconductors,http://www.nasdaq.com/symbol/mrvl
157,SHY,iShares 1-3 Year Treasury Bond ETF,83.78,11260032000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/shy
158,CSGP,"CoStar Group, Inc.",311.39,11255344131,n/a,1998,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/csgp
159,ODFL,"Old Dominion Freight Line, Inc.",136.6,11252554087,n/a,1991,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/odfl
160,GRMN,Garmin Ltd.,59.74,11213402191,n/a,2000,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/grmn
161,SNI,"Scripps Networks Interactive, Inc",86.14,11190931851,n/a,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/sni
162,CDW,CDW Corporation,72.94,11164402528,n/a,2013,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/cdw
163,YNDX,Yandex N.V.,34.25,11157821184,n/a,2011,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/yndx
164,VRSN,"VeriSign, Inc.",113,11138421526,n/a,1998,Technology,EDP Services,http://www.nasdaq.com/symbol/vrsn
165,AKAM,"Akamai Technologies, Inc.",65.83,11135258913,n/a,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/akam
166,RYAAY,Ryanair Holdings plc,108.64,10953712413,100825777,1997,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/ryaay
167,IAC,IAC/InterActiveCorp,133.31,10929467542,n/a,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/iac
168,TRMB,Trimble Inc.,43,10825735900,n/a,1990,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/trmb
169,STLD,"Steel Dynamics, Inc.",45.6,10805001350,n/a,1996,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/stld
170,SCZ,iShares MSCI EAFE Small-Cap ETF,66.13,10765964000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/scz
171,LULU,lululemon athletica inc.,79.43,10753232844,n/a,2007,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/lulu
172,VXUS,Vanguard Total International Stock ETF,58.65,10658302743,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vxus
173,ZION,Zions Bancorporation,50.87,10160965885,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/zion
174,IBB,iShares Nasdaq Biotechnology Index Fund,109.83,10148292000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ibb
175,VIAB,Viacom Inc.,29.1,10111089259,n/a,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/viab
176,CPRT,"Copart, Inc.",43.53,10068661945,n/a,1994,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/cprt
177,NWS,News Corporation,17.2,10021095338,n/a,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/nws
178,TSCO,Tractor Supply Company,79.44,9974833076,n/a,1994,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/tsco
179,DISCB,"Discovery Communications, Inc.",26.1,9893341294,n/a,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/discb
180,FLEX,Flex Ltd.,18.54,9797863204,n/a,1994,Technology,Electrical Products,http://www.nasdaq.com/symbol/flex
181,CDK,"CDK Global, Inc.",71.21,9794083900,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/cdk
182,NWSA,News Corporation,16.8,9788046610,n/a,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/nwsa
183,ON,ON Semiconductor Corporation,22.83,9683624168,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/on
184,DOX,Amdocs Limited,66.81,9614916454,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/dox
185,EXEL,"Exelixis, Inc.",31.62,9354878500,n/a,2000,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/exel
186,IEP,Icahn Enterprises L.P.,55.21,9335089821,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/iep
187,JKHY,"Jack Henry & Associates, Inc.",119.78,9251144218,n/a,1985,Technology,EDP Services,http://www.nasdaq.com/symbol/jkhy
188,OTEX,Open Text Corporation,34.31,9110619794,n/a,1996,Technology,EDP Services,http://www.nasdaq.com/symbol/otex
189,NKTR,Nektar Therapeutics,57.76,9095334525,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/nktr
190,CZR,Caesars Entertainment Corporation,12.85,9048086408,n/a,2012,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/czr
191,EWBC,"East West Bancorp, Inc.",62.5,9033931938,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ewbc
192,ACWI,iShares MSCI ACWI Index Fund,74.13,9014208000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acwi
193,AGNCB,AGNC Investment Corp.,25.9101,8976556296,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncb
194,ABMD,"ABIOMED, Inc.",202.32,8945810456,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd
